audience_id,age,gender,frequency_segment,distinct networks,distinct programmes,seconds_streamed
AozEAyb8PTaPjSAnZs2NOhvLouYMnC9s39CtKQYzWXg,,,D. fortnightly,2,4,2472
0ObwJK0DQLiy5iInlVTEvUtREGbDCsihwRqBhxw9vAo,35+,male,B. 2-5 days per week,3,21,656941
25EDFE4AmwBtmeb7WEBMW75dLw7r7A2296tp2E_n9aY,35+,male,F. less than monthly,1,1,1472
3lZfTZjKxTcSJl-fee8Tz4Uha9Dcay2RkVxywyrNOnE,35+,male,B. 2-5 days per week,3,23,173975
5InYaB0r1iSflktIdO6xKQXbcGuRbN1JIMIHS1hewJ0,35+,female,F. less than monthly,1,1,4617
71EjmLcLAG2riyNH17gWmflOMgHGmG41E1VZIX-9bkU,16-34,male,D. fortnightly,1,1,40486
8SkJc4sMciwmmxRY7HnXmYX2qHlpvrKI9yzceGdKjNQ,16-34,male,E. monthly,1,1,1530
9qFn85mRNpdxT3Lb6WWLCybGP99qY5IW_cordKg4xF8,,,B. 2-5 days per week,2,7,24818
0czz-gxBxfuxS15qeSyIVjlEJH62h-ppgk0z995trDY,16-34,male,E. monthly,1,2,1974
2ETXPiKJMd26m4ipbRN_efFGRGOO0MF3d4GiNzD0Rps,16-34,female,F. less than monthly,1,2,3780
3v_dybHIkTeuLoNjTtsbKxycfLG8T9REf15QIysB-mc,,,B. 2-5 days per week,5,8,38560
5XcfsETftdN8DgAhuLXErXgtWy-quIDk90rM1a1CQ68,35+,male,A. daily (5+ days per week),2,56,308218
7Ga19v5UKttjYRFi9y_npzJHalekeAl70eJqmQvgz20,,,D. fortnightly,2,3,5040
8nuj9tlM62I31G-pnUDSF6zc5vRuCWcqp4Qzflqg5O8,35+,male,F. less than monthly,4,5,17038
AHgh_TSbmbzPKnY2M2CMPmDu7Dnmb3uuwdgDsk2fZSc,,,B. 2-5 days per week,1,1,224601
Bn2f1jSYtHWb5o-H-B4cRrgXRc31REBAy0XK1UnvqH8,,,D. fortnightly,7,11,6163
DUwfXBJXx052tsXnhKEY3hSZCpvVd9Sy4cC6rmBJR0U,35+,male,D. fortnightly,2,2,17425
EbzJ-fWtOTdrgLhiBXyVyckLWsWR48DpGTCedW_eD94,35+,male,C. 1-2 days per week,2,4,5391
0qhcrmO_fqm4MVpT032TSujLq315BBu0yv7U9VzGiFs,35+,male,E. monthly,1,2,7175
31hpYVhHauBsDyMJKdVktETpbYmDPj4boyri71KpPI0,35+,female,C. 1-2 days per week,5,11,139239
5BG0Wrf6dEFLp-UdgVhxZVqlLvl0Q6AaIAktvpUR8fI,35+,male,D. fortnightly,4,10,75989
7SBCrK-lQ1TqLLrB--4DGdDsrSdmcyYUQ91RR-ajv1g,16-34,female,F. less than monthly,1,5,56222
9doCO-JgYDw-HdOrOpk4RLuDxYMgjfJ42iIl22hJl_o,,,B. 2-5 days per week,2,14,51083
C3G7j0BrzBeLxX2y3Y5aGuxpm2SrlReNaj6wdbX2teU,16-34,female,F. less than monthly,2,2,844
ENCgmi67Zu32aTu_WXZzXikVmbaT80NgleSS4NYdB9A,16-34,male,F. less than monthly,1,2,5249
GTmH-yTzdQy4W8J52bU1Yz159G62dwpR2uPgP8Y3pRw,35+,female,A. daily (5+ days per week),16,45,411918
IxilCSASDcxTq5p-deqj7aICJ6iB9FR4Cto6_6GZylY,35+,male,A. daily (5+ days per week),6,43,111297
03qT-Kb80rRW0ccGgfmXLaJgASf2f_KWxOEl8UnmatM,35+,male,A. daily (5+ days per week),4,19,255070
2ZopOESV45gI661OHpN8Qsd11AbjFZnAZGmfMDLvfXU,35+,male,F. less than monthly,1,3,15066
4uGFabGl329nKn-nQKaDrYJfUD3jNW68zrykJkJixic,35+,male,D. fortnightly,5,14,50727
6riea7ccp9LeCYMrijGg9RbC4MlZRwGdtLojFs47Uak,35+,male,B. 2-5 days per week,1,5,140638
00nVDNGOcGNARi2uleWMMzG7SrfV4CMUxVRlEclvrV4,35+,prefer not to say,B. 2-5 days per week,4,44,256652
22-wV4KLZYTIUDcAmv1kv-x9TpB-dD4xSujG3l-K4Ik,35+,female,F. less than monthly,2,2,266
3exlfOnx3PtiQquvC4f4TWE_mRcuzgeC1F6ifm5ZOsA,16-34,female,C. 1-2 days per week,1,2,42784
5iWHd24FdV_rVuJuegBONykLs5STnAJ8GNwX2VqC_y4,,,B. 2-5 days per week,5,17,322031
7PGRH42SpN1RTg3zQsa6WGmDI-SQNorRvIC9T2u-FU4,,,D. fortnightly,2,3,12912
05EIusUxr6e8lFup5HadtttWWN6-L0DUSiXJdqTpCLE,35+,female,D. fortnightly,1,1,1432
1pNQiusUbwkZ2AeJMDsp9yJXCs182xH9BPwGo5njpy0,,,D. fortnightly,1,9,9820
3gY1h8VUh65YdC_DlYYPut0sDF3MOuPnKHh2ctoa7HM,16-34,male,F. less than monthly,1,1,4895
5RtYCEQGm9W5epXPV_M0uxf1wXvJJjTpfObnyO19-eo,35+,female,E. monthly,1,1,12656
6rTRQ5L5IIFq7uYweA2yuoON1jVGj3JZKT_KYnTTXVE,35+,female,F. less than monthly,1,2,1727
8bcua1Umh2EXPhirgoQuyoN-MUx1wFzJkX8sZhm8Cmk,35+,male,B. 2-5 days per week,4,14,26823
AH6vXzM98Ph7wPsnnBYRQlOZqW5l-qCC4VvSAFV_jgo,35+,,E. monthly,3,3,1896
02s8aQcL1dJ-AzsxVbcOh3aDMwCGl7nuuyD0H3jGLhs,35+,male,D. fortnightly,2,7,37588
1rqDfUf-0JIGS0MNUoOzWRGtst5OCQS_qyNg-zINzXs,,,D. fortnightly,2,3,10254
3tOFwaRzXV3BQGpXQYOnsgmVUDiwjl5bFuO2Pt8t6QE,,,C. 1-2 days per week,3,6,10477
69zr2jR6rINqNJc5QNWISiLaZp3oj4H9i0QsYPWpdoQ,,male,C. 1-2 days per week,1,3,22201
7uRCfhdqcVZ82Z5kZaC8UQH3CfbJuOwkR_rmzTpL3q4,16-34,female,B. 2-5 days per week,2,6,107835
0J4fEotq5k5FPjIgTSmijHkqP3jMgXyiFRtvaDgA0Vk,,,A. daily (5+ days per week),5,23,206484
1ui6B8O201Ait5pbkLa9spqzc2eXwD9EpliRpVA2dBs,35+,male,D. fortnightly,2,2,5488
3RrSSzMX8NiMcAT7psNU8Eg2suqyAoWaNGMYeIXYhIA,16-34,male,D. fortnightly,1,7,15273
4t-0BxbXzCCmuIXIDEMAhLBWtVeRCIFoqhzURDrdNCo,,,F. less than monthly,1,1,204
6uggdrV1K1rP2P7fa3KWjGwll7vKagRH9Dz-dzyX56I,35+,female,C. 1-2 days per week,1,10,97548
8S_41O_Yi-OPUAZw7FHHYj7cHmdKLxpmJW5DvYakzBA,35+,,C. 1-2 days per week,3,3,15315
A5P-kwRUngHJ5r5wG1I4mvlgoeUzCwVMzr1VNJH3xfg,35+,prefer not to say,F. less than monthly,1,3,3837
0GKA4JbQmzoTdQeLdZtDVG7AeGpqNLASVbnB2RRZmMg,16-34,female,D. fortnightly,1,10,70941
1xgKXW_aF5FnTQiarnhwmenQEXwQDtB5FUcPJ0tUgBs,35+,prefer not to say,B. 2-5 days per week,4,11,109675
3ZkzUjC-6fz_usInxOzJ-BJUfKkVoiGiUHwwZGGvM6M,,,B. 2-5 days per week,5,22,111741
57WLHG6us1aKmiyRCVqkPVNACUN3ThBcFAveUwUjH0o,,,E. monthly,1,1,235
6Ur2Nas1IYtqlmLgvR_3br6yZwEM3QELPG0a1Q9p-Dc,35+,male,F. less than monthly,1,1,1654
82pWvDYTxgXbpuQJYnm9pOiB_uviBfTpVqrlfjxRcds,35+,female,C. 1-2 days per week,4,8,82261
0Gi5sqm-QnE3bLs35c6juGPTDVhR2pxqQ7-BY8ooYf0,35+,,D. fortnightly,2,2,362
2C6xEg82jLNO3FgnoSQr9hP9MPtTMNbPNjCRxKmanm8,16-34,male,B. 2-5 days per week,2,8,55397
3x07K8k4z6dTgTCRXe4eRlen_LMhADUMDGt5RadL4pM,16-34,male,F. less than monthly,1,2,52787
5MbUHJmxqczbY4qoQxq2Lyj9E_BUeuBaroMxt72hZAQ,16-34,male,F. less than monthly,1,1,1126
6xw-ONsmkxvKBXFQ3JwxqsSubOS-oToc2FFJcrM1BIo,16-34,male,B. 2-5 days per week,2,9,67806
8oKF8438Smti9Nja9RL75C1HwxWnsGt9Njx9NzsKyQ4,35+,male,E. monthly,1,1,204
ADsT0uI3oOy4beBO_rNhOzmJ9yzsjmbqM-6srruA2oc,35+,female,F. less than monthly,1,1,123
0OosabiUs8jJ7AMbkZ9wTqytq-7lBKBey4bHq3jyc1o,16-34,male,D. fortnightly,2,5,23327
28P8Cmf9R-cTES4tOHYGGCSHfQz71_9Q-_Ai4J8BRVA,35+,female,F. less than monthly,1,1,531
3kSNdxtT5Rjar2XfkIz4Lxwpb4jJaJsvv3uy3529Y-A,35+,male,F. less than monthly,3,3,151
5JGdRzU7aUII8nAfB0WEOyfkOZ2LoX8WFZKIsmqRIaU,16-34,male,E. monthly,1,1,7766
6o6FoaDhsSIwTvo__1eh2KbwN1qgV9OzaPn4izcuD10,35+,male,D. fortnightly,3,5,10668
8PZCK-itbG0357L_pBkgT0zQWDZ1nX0zFguZrsx36GY,35+,female,B. 2-5 days per week,5,27,112018
0Gmcf80WOGcaNQf74LXR6OKD3EVcuIqA8iJjuqL6U_U,16-34,other,B. 2-5 days per week,6,14,37147
26qjU1zAtKP355fpf2h7sjDJ7kbBaBX-N8uKa8FpSnc,35+,female,F. less than monthly,1,1,6985
3o5W9LUcULRvmh5wjgzA45R7JwbARj47fj3gOjEY2yM,16-34,male,B. 2-5 days per week,3,5,31391
5a3TUI07DdXe7P8kjt7E9GdglfA6NhjXebg69e9PSR8,16-34,female,D. fortnightly,1,2,6322
7GWcygUmcsoxAGZrvj9EDFYVIMTh3IVAWGK_dNjIjCY,35+,female,D. fortnightly,5,16,77058
8nDWrVuxOYuHqvmbR9BSN5N3DumDO68T7qnPexh2zis,16-34,male,A. daily (5+ days per week),7,20,106183
AkdDNNPG1pUDBCEWU7NESujSAie356jOdOObzXO2uhk,35+,female,B. 2-5 days per week,4,7,47284
0YT9ftm24DWJQONUEvHL0vi6aaf3AyqZYLTlArfEoKM,35+,male,F. less than monthly,1,1,6
2GiSTpTN9xIIrJ4aX0Ibn_ngXX9MqRvKnZYjYTzI2kk,35+,male,D. fortnightly,5,7,20814
3ohpgizejDt_ixQsf46_7k6aTh9kft1QcOhl_Acozek,35+,female,E. monthly,1,2,3438
5C5GamEmvpVNmClTd0lgs9zqP85l1FigRhQ-UmWLc3A,35+,female,D. fortnightly,1,4,16338
6_5YVoZUIs_LOSflNJO8ZQgfnlcVUW6KwF5Y75a1tSo,,,D. fortnightly,2,2,2953
8X-al1p8c5BvAd9q8IQO_J08cYPgnXGXHwFZpZ-gsLY,35+,male,B. 2-5 days per week,7,27,108281
AAY9cIyyBT4OqkqWyzPHaXKco1dPV6bZ6gidVvI3ZJY,35+,male,C. 1-2 days per week,1,1,2460
0QokdaEK_2juiGH8SV5kFALNeSvAQslxZ7wshgiqxdY,35+,male,F. less than monthly,1,1,1150
2H1DlenzGt4Z-_SZVQqTUtJjUPhHJvZ-9C404YvY2Ig,35+,female,F. less than monthly,1,1,8
3lbEoLxbOXuHveqFeojUxJZYZKhiXRctmZqgIigoc7s,35+,male,F. less than monthly,1,1,53
5ZhmkLfm7Wm9AlUz8JPXd59sw8Nm-F-a1en8mGG4z04,,,B. 2-5 days per week,4,11,17050
7JKhpMcXlzpH4QrrgmVz-UBTD2YwT3zOGKDtB5EiwkU,16-34,male,F. less than monthly,1,1,84
9101oB3-B5Zsndn52jCwa1cw7xXJng8BrG2yk0hRRB8,35+,male,D. fortnightly,1,6,10278
AR8IuIAg4kjkLucIIVjtnYZScLSApGt1irYdyKOOvNM,35+,,B. 2-5 days per week,14,97,432966
C--KG6JbgA5DGDybalp74ANCWSZQCuKmC8HEz3iRXrI,35+,female,B. 2-5 days per week,8,56,65108
0Y-rDDJG9j2rrdysMdVB21zorKkEZYBubdQn8GQgaUQ,35+,male,D. fortnightly,2,3,21
1mheJzUHKttfTbA8dIVUeVzERFh0Xv90UvgMBfNZCL0,35+,male,D. fortnightly,2,2,1628
3m4Dup_eMq1JRUETyea0E-IBeq0Z0SPrTYsaEVPp-ow,,male,E. monthly,2,2,302
5TKtUwqdob5yKe831M0GM-SqC0us2EpsbbW7pJyvnmo,35+,male,E. monthly,1,1,637
6r9Wd0sx8Q7UL-IxI907iMNOjz_OxpbfoNm8xwDDCS0,35+,male,F. less than monthly,1,2,470
8GwBrtn6U8kjLFpeVeXuJCUSM-DMbDB-3Nqlg-Hgnio,35+,female,F. less than monthly,1,1,295
9qi966aoxPEdrvWHgj5gvfE-YyJhX3AfuCfXt5yApV0,35+,male,A. daily (5+ days per week),2,16,160160
0JWm1PqARge3BNZ6rXnBWeI7q8GqIDfLuOkVZ7Wv1BA,35+,,C. 1-2 days per week,3,10,12576
26s4zQRqP3erUccyBxh_gIDp3jS0ieB2G9hNJCHkMfI,35+,male,D. fortnightly,2,8,9551
3rVGJEsvluj_W4IC3pd9TLMFEkt-NvW2cquuR06S67o,35+,male,C. 1-2 days per week,2,6,8055
5Qsyy6jysvhU6f_DHUrJvlpTsvKNgFpyEtzQeyhpBlk,,,C. 1-2 days per week,7,15,42814
70WQgI8XdgktB25-IlDwTzb-GbFOEikCM1QY-xsN3FI,16-34,female,B. 2-5 days per week,1,13,86437
8l4uHj6y8JJhpBKv_yrjluQqMwSFPuR-tzP7sWc_vT4,35+,male,E. monthly,3,7,400
AWL_66iEnYHZoqD5oSUmv_-vRgi1tMvuGSRYG2uPM-U,,,B. 2-5 days per week,7,12,58156
0Kr3xMkWbylg-No1Edj2wBOskk2ZsbxPtdqvsMPHxKo,16-34,male,B. 2-5 days per week,2,9,68241
1zwS2Jk1fY3gXYUEDAJCuZGxEdxT0zrmxByrPeCiVVM,35+,male,D. fortnightly,1,2,3093
3cWmkcG7J_cCYC_YhKGi3bswfrqgk2aqbAN0IWx27pw,35+,female,C. 1-2 days per week,3,3,1009
5E9uN4IRmrQQzFIz77w-SAiRWPTGm_DLepGmuzrjkTk,,,A. daily (5+ days per week),7,88,360458
6xA7fhWgL4ERBjg4cKp8kvvAwIIcQDpFXfKPiblOtcw,35+,male,A. daily (5+ days per week),1,12,104358
8M4WdOv8VCBstzOJL10hajFC3geYmvre_oMkZ5FqGHE,35+,,D. fortnightly,1,2,330
9lqiIolBBZrVuTjZe327Jg4DerALPBvNY034E45Jsnc,35+,female,B. 2-5 days per week,5,30,187233
0R_mdWf3Cwop3PiAvXMvjbJOU3bkhD06eY1M2PQ1elY,35+,female,C. 1-2 days per week,6,17,71951
29jt4VE3na95mFOl23-gSdH_GLanYqHpqK5xLt0I1TM,35+,female,D. fortnightly,2,6,44332
3nE2tzTxY-bd67ZApKlBKu8_m8BT17x_duA3U0785no,35+,female,B. 2-5 days per week,3,12,97246
5SQLwEW4a9t3HJgWCpKnfas7ybI0DCgGwnsTGhEFaBU,35+,male,E. monthly,1,3,7193
7-YiPSNh-A3lmJh8N4xyjby2yBWCst3Lx3RxvZkM9hI,,,A. daily (5+ days per week),2,30,25895
8dqMkaZGApcO7vYoVzGOUycEzWMC055qQpg5suotLPo,35+,male,F. less than monthly,1,1,16
AAJ_r099wS8BmMvUYdzB1qhGrp6R6ppMcPGmJW3PMwE,16-34,female,C. 1-2 days per week,2,4,2447
Bgg-REGdzO13i-p5uu5DDbDNB_2hra1EA-Oy5snstAs,35+,female,E. monthly,2,3,10614
DI4cpiQYmwqqF1E1tVh3bUtViZLB1ELWirXH-UIQAXA,16-34,female,D. fortnightly,2,3,4644
EWIHQ6CRa6XmBVZcAhpkRPoEA6agVWON3_XaPv1yS_A,35+,male,F. less than monthly,1,1,113
0UzBcLT0HHFXzWNtNt9MgCshE5dIJqDIuUiefVdGhLQ,16-34,female,B. 2-5 days per week,1,12,288518
2qVVM3GIhhmoOEGs2c-RV6kQGu5tgT075H6k041r47U,16-34,male,B. 2-5 days per week,5,6,24552
551J-SB09uqDJ58Sw6EiUz58d_YGCpBCBmY0AL1cc1g,16-34,female,D. fortnightly,1,10,70433
7E-mNlNwm5ZhdDO2RMZYCutyhtPWdqJOMVygQuBRe6Y,35+,male,D. fortnightly,1,3,11746
9VJGpmJXpkAvPD5leeF1EVUAQdXRzfo5lVDujK2AdNU,35+,female,C. 1-2 days per week,4,7,35439
Bs6EXFnauDRJIipAfGhzKWUVK9Zrc2PdZdH6_lf6Uko,35+,,A. daily (5+ days per week),4,14,69380
EDJcQ8JlOsDNPjUo_uD-RhSSk8puPLmDh5-AubSKoZ4,35+,male,E. monthly,1,2,5973
GNbbP1g4bkPbUvYHcg6VJ-DTwaQugNNNi81FqUaFvPo,35+,male,E. monthly,1,2,13565
IdagusQHQjlMkPfNJlHMB-M_C8tD1xMVqqlE0suzaYw,35+,female,D. fortnightly,1,1,19502
19tCCDJUJlFtywGsFu9aZVXSt4815ilsUGR7aSj-JlY,,,F. less than monthly,1,1,8122
3XapcCcD_kUSCP8332gbgOG2D5ccWAqNfN_Zu_67DEw,35+,female,A. daily (5+ days per week),2,23,114523
5p4fmFua0jz8pj7_7v4mOgxX0oabArF7DoCUsVdhtYw,35+,,C. 1-2 days per week,4,7,17088
8OCHKowtOZVFCkaT7kBacfgmJRGQp1iKCR5YvyQoEcI,16-34,male,E. monthly,2,3,14579
10Cm8RGqUz0Vxd0rfuxXdiQOBTLgNkgIk8tDmYAxyac,35+,female,E. monthly,1,2,6491
2kFVDkxxlQ3biLiHw6Z5xvkPpCWqU_rrGVpzKF0w-2I,35+,,B. 2-5 days per week,2,15,57506
4l5TkI5IBZWpLQG9n49SfDNXuttJQ7JxDnEdsWQqXRY,16-34,male,F. less than monthly,1,2,3592
6WJFxH3kkDmAAwZnVb5UNMrgKxOPvDGS3MSOP4RT08c,35+,female,B. 2-5 days per week,1,5,24387
0muTsCHygIJDaU6El8P4o3qM8jV7oEtz8fxnzze2zbQ,35+,female,D. fortnightly,1,1,403
2lG_ud5XrTsd54M2baU16FPsZzYXN2NeJm6xyVrzvTk,35+,female,E. monthly,1,1,656
4bZs6uZLFJMjNWAM63cQCyFgYQk2bTI5g5NQkWwdEgc,35+,,B. 2-5 days per week,1,3,6095
60mZaIU0VO4Z2uOVViKd1n0E4SfCq0Xf8gR9Ovfe8aY,,male,F. less than monthly,5,9,28131
7b43Mcv6q2rHPQo_I9PO36WtZNWsjQlU8-f-ofuWVps,16-34,female,D. fortnightly,1,8,9857
9I68hf-RmL156dM3wOl9QmxvxgiDjJ11_4a5WFEeyBM,,,C. 1-2 days per week,1,1,11704
B8TrFCgk89qO0wPfTzZQFpFEQ7Qi0rB0dIemuIjp_rs,35+,male,F. less than monthly,1,1,3298
0wOS49qIK3Wtwwx_o8eGYKdVGVIMEeaePdjJXek4SXs,35+,male,E. monthly,3,5,4811
2fxPpcu4bJiNJ6KIV9KB7YKL7Rrk6j4wSBrs7OeQy3g,35+,female,D. fortnightly,3,12,33245
4j94hMO-NvVsJAZxCPJVMJPpMO_tskwu9IsPY1aJVIE,35+,female,D. fortnightly,1,1,166
6wiT7hCqbQYDw6OLa9gtu8vtoV1VskBX4rdqV9ZmTl0,35+,prefer not to say,B. 2-5 days per week,4,32,302236
15XD3LbRn1Zvtu_orqnNOi0qVBME3c6MCiCBsnGC7A0,35+,female,D. fortnightly,3,12,27958
2d-2DADZ5H3-fmGUDAKrush_thYLP03NcnX0iaR6zNA,35+,female,C. 1-2 days per week,3,6,16203
440Qej2LhZx_8WkYonkyYUAKmMvR8N6MPPE68U0Hvuo,35+,male,E. monthly,2,3,2453
5sQR6aGWBxj-88CyxpQu4jRJisX6kP9YmQ8mtcE94qk,35+,prefer not to say,E. monthly,1,2,4208
7_YlmIXxsp2qBorNjjiKjADMJCFyBFe_0Jr3i2kC3p8,35+,male,D. fortnightly,4,10,9214
9IVGCtYgONchJgySrp_43_9RN_UyLj1K-1KznOb4JpM,,,C. 1-2 days per week,5,13,39385
B8K1QhzyXqwUy4YWicAIaEuL0OYtJeLEMwPIiHBWUTQ,,,B. 2-5 days per week,1,13,680958
12llXsE7Wgc_qQL9tZCwxvnN26uNmuq-94HI8GItKpE,35+,female,B. 2-5 days per week,1,1,736
2a-3wmTHJAtzDtDd11_0a7vK120KR_WtOeoRfkB2mTA,35+,female,E. monthly,1,1,1080
4FE-4RSob3x7_eH4hgRu1OlMEXXkbc_E0ctzaENE4JM,35+,,D. fortnightly,2,3,15399
5ow6Iik0uT1zq94AD7RW2VNc_XuxjbxRrRyv4PtNCqc,35+,male,F. less than monthly,1,7,36056
7A9fECRfbeme23qtjaD4Rj4BOlzhMBLtdClvH7xh8e4,35+,male,E. monthly,1,3,7934
8aSRWI21NtYkINwZY7EIlCVanc7kMt3N-eVJW5s_Gw0,35+,male,A. daily (5+ days per week),9,19,141570
0wh2OZaIMjZ_RBRQRUJp8aX46IvjyoJ09dc_NbxnK-k,35+,male,A. daily (5+ days per week),5,18,75556
3317C5J2MB0G8XQOTltnA-4ST7PV3ImIsf_eyFx4c2s,35+,male,C. 1-2 days per week,5,23,33425
4YuVduy83HD7pBJh5V0BDxXgxh-20gVu0Y8qr_zhplY,35+,male,D. fortnightly,2,9,80317
65KpFxRk75dGZ-UQigsST6oQm82i5ppRhlJIXH30Rpo,,,E. monthly,1,2,11965
7gYOLDzd9WAnZohIukCNyfAPOXZT0c4nt1_7jeM6fW0,35+,male,B. 2-5 days per week,9,21,150763
9amrzKNAMBoYWq9WzaAQPb57XJ-ex5f-rq82thFEpDs,35+,male,D. fortnightly,1,9,16199
B-a9jbTG-ejKWUzpZXoLQzjZwn2NhD5gxIsLfktgHXw,16-34,female,B. 2-5 days per week,1,8,165429
1UIvYMwOLDsDMBL6nH2KMRbp41cqOQw5wZ-MzM3PahQ,35+,female,F. less than monthly,1,1,4394
2wtmpbMXsjcP9bOcL88lFqkZFa5NJTHHgg51jjxxzEI,35+,male,E. monthly,1,1,8376
4Qn3AXLZiAP67hWT5oFgnuVOwn6eP39qGaNbBQADRZ4,35+,male,F. less than monthly,2,2,25
642O8G_N1dbWEK2-4cz8VCpznf6vfbYs-YnsKATzngw,16-34,female,D. fortnightly,1,2,5066
7ZaBA7YyhL3-Nf9KCX0d1-W10xzM3pol48hhJGsotYo,35+,male,D. fortnightly,2,6,5326
0vpAxt_3ZGoCho3Jxxj8JDe2nSlmQx2zrSttqq3Ew1w,35+,female,C. 1-2 days per week,1,5,22652
2xL-n9dbENZ7a9vmm6UrDNHmkoyjdBy4Y-P6Xg0l-Sg,35+,male,B. 2-5 days per week,5,16,235967
4ce1MpeIE65N-2lBy_Hxiqhsz2SnVlbu8H5B1fMN4vM,35+,female,D. fortnightly,1,3,11834
6JjqWBrpnujGq3Iyy19g_3vyh7OC1I7jgi9N3Fx43wU,35+,male,F. less than monthly,1,1,6
7x-1zqigrmsBXH6wxidSv9GdjV3VpccRqI7sXyf9KwY,35+,male,E. monthly,2,3,251
9n__XkaG6p5ZQOddXBIHLF2VmivBI9QjwNMIJv21Yts,,,E. monthly,4,6,5069
1S1r8dqh5cqnPyXhYF48fyDpl-VVieqmzeFYmcem2QE,35+,female,D. fortnightly,2,8,10008
31--0OFBY65Pq-Do_KCTUEoOLvVOUaNmWm0CpOaxskg,16-34,female,B. 2-5 days per week,6,22,99689
4H2MxMGyPCo9kPdv2ffGsCgxLzzqgbS5yqGC5VZlNzE,16-34,female,A. daily (5+ days per week),10,25,572230
5iJlxTAqvm55ltvlI5grMLCL7_d_RGDAwy4Fs4TtX6Q,35+,female,B. 2-5 days per week,1,6,583864
7Yu5L6615HEsNUFhUSQ_e_XIjrBHNTcMBrsUaMMIYYU,,,C. 1-2 days per week,2,10,115651
9SD_5HmKprdLHw6WMmSjU4B23uo5mkwmvb-RnMTTXPw,16-34,female,C. 1-2 days per week,2,14,58521
Az5iXY31KijRZdYQCRHqjZkReMSSc0bwTXGodtEhkCk,35+,male,C. 1-2 days per week,3,6,25794
1Ssze2PJCXVr_ez5MU9u8WpGkvFhfuUDVis0RREh05k,35+,female,D. fortnightly,1,5,9105
2vftWvCs5xdapv8NX_fYbvEGd9-WrwKBbkGXhNx6euQ,16-34,female,B. 2-5 days per week,1,6,79905
4XHFy-lymMOn6RogVnQxdbDhe44zwImk64WlzCcLHtM,35+,prefer not to say,E. monthly,3,3,12243
6IrdqSvCCKfX0n8x1fae3NUBRFA35tQ3Vqu-yGs5EsA,16-34,male,C. 1-2 days per week,5,11,25707
8FBaJWZBqEyZpch3Qg0S6jocLKajVPsh5u6ChActID4,35+,male,D. fortnightly,1,2,1078
9oANzDsT0lnRF3wRsuA9gXoJoVM9tebB9vwAGS5kc6c,35+,male,F. less than monthly,2,6,17546
B74Z4dJaylwS1A5Pm9kVmQb6xQdPrRx5jh1wqEx7SK8,35+,male,E. monthly,1,1,29
1D1tW2HuJUFLeDzwi8OkPQjKldIvGuG0Uc6YoC0gFTQ,35+,female,B. 2-5 days per week,2,14,120763
2m8VQR0uPOtwcsmf1Oz9KUFRv5HBHTwbQi4VeiPZfes,16-34,female,D. fortnightly,4,5,6203
4Rh8YBVlpgPWW8aB09cK4y2RK8dW8vMj32Q7oDO_fXM,,,B. 2-5 days per week,1,3,42408
6AzC4YqYRQYqFUtq-7K6hxYBPQhYqinyIyvXvIG92-8,35+,female,B. 2-5 days per week,8,39,171256
7TIxV2P040B9L9Pqvro7W0OBrZx9gaTMayv9316NOao,35+,male,E. monthly,2,4,8507
9-DxcmhEj31IQY4lMSnIS60ucuUpFtlyvtbNcLRJF08,16-34,male,F. less than monthly,1,1,121
AU4xOHRoPxpsTgPByx9C_L7n2Jr4NJcqYyc9nP3tcqo,35+,female,B. 2-5 days per week,3,24,62607
10z3AW1AO2Qt83-p5EjwZ3DhlPnV3mLu8jAbt3olI9A,35+,male,F. less than monthly,1,1,52
2ni0BGMQ0qM_jdTDYx7FvzApAAbm7NGCrTK3bgw5-kg,35+,female,B. 2-5 days per week,4,7,48373
4bJJRcJwgnviQUMuhVXooLlBO5wZ8oA3Oa_Fz_iDMkY,35+,male,D. fortnightly,3,5,22468
68gLXW1_5xcmL4_uaJ7Hzg-riay7oBcHrcoK8TDwbuI,35+,female,A. daily (5+ days per week),5,43,410131
83OzZA2isGIo8-5V4fyXpTBBr4aSIcoDPss_kYRMEnU,35+,,C. 1-2 days per week,3,8,7033
9Zjq6kLzO719dEhIPaA4JqM20JsyKRTEL7tJX8NLO8Y,35+,male,B. 2-5 days per week,1,7,30576
14q7bmwQm7uFgPY6EMK2IWR4QXVJMNiTFrJ5KoL_tMU,16-34,female,C. 1-2 days per week,3,6,21275
2Xy_f92YZ8GLBwxaGMEMZ6Rnw0ybgHBJXB-rIVlJ7_8,16-34,prefer not to say,D. fortnightly,1,2,3062
4JrfgTHAjdlYTZq3BIoszoXw0AUS8UMPDoVPACgtwDs,16-34,female,F. less than monthly,1,1,961
618dz_sQXeFoS9YOoHuK-6KDLgjzpSW1fqpvCKfgEyk,35+,male,E. monthly,1,6,1405
7di3sPdrt99TZ-mqeOerVa9cb6Hl3EB0x6QGMUzB_2o,35+,female,C. 1-2 days per week,1,16,385876
8v__NZvNkrcXKIrae_FdrsmErAC7xgYqKK42DOPjdxI,35+,male,B. 2-5 days per week,5,20,54834
AYfjzg_Zz5E23mzFw3RP0slLhfBoKKpjz4gwTbuVIrc,35+,male,B. 2-5 days per week,10,57,475992
1AQ0dQ9v1oB9rZCKkWV0fG9Rc8ovr_t1ofpMMlXVkeI,16-34,prefer not to say,F. less than monthly,1,1,590
2o4zX4rZNkxskxIDg5zClaxylP1h3Z2MsajB5FdEaks,35+,male,B. 2-5 days per week,3,9,62909
